id,dataset,tool1,tool2,read,unique,total,percent_unique,group,subgroup,percent_compression,percent_sampled,total_reads,q,p,label
228,miseq,fail,fail,R1,1132,1132,100.00,fail_no_motif_30,permutation,0.00,0.14,835261,30,50,q30_p50
229,miseq,pass,,R1,588039,809336,72.66,pass_35,permutation,27.34,96.90,835261,35,50,q35_p50
230,miseq,fail,,R1,25786,25925,99.46,fail_35,permutation,0.54,3.10,835261,35,50,q35_p50
231,miseq,pass,pass,R1,530255,748725,70.82,pass_motif_35,permutation,29.18,89.64,835261,35,50,q35_p50
232,miseq,pass,fail,R1,57784,60611,95.34,pass_no_motif_35,permutation,4.66,7.26,835261,35,50,q35_p50
233,miseq,fail,pass,R1,23401,23538,99.42,fail_motif_35,permutation,0.58,2.82,835261,35,50,q35_p50
234,miseq,fail,fail,R1,2385,2387,99.92,fail_no_motif_35,permutation,0.08,0.29,835261,35,50,q35_p50
235,miseq,pass,,R1,0,0,0.00,pass_40,permutation,0.00,0.00,835261,40,50,q40_p50
236,miseq,fail,,R1,612851,835261,73.37,fail_40,permutation,26.63,100.00,835261,40,50,q40_p50
237,miseq,pass,pass,R1,0,0,0.00,pass_motif_40,permutation,0.00,0.00,835261,40,50,q40_p50
238,miseq,pass,fail,R1,0,0,0.00,pass_no_motif_40,permutation,0.00,0.00,835261,40,50,q40_p50
239,miseq,fail,pass,R1,552706,772263,71.57,fail_motif_40,permutation,28.43,92.46,835261,40,50,q40_p50
240,miseq,fail,fail,R1,60145,62998,95.47,fail_no_motif_40,permutation,4.53,7.54,835261,40,50,q40_p50
241,miseq,pass,,R1,612851,835261,73.37,pass_5,permutation,26.63,100.00,835261,5,60,q5_p60
242,miseq,fail,,R1,0,0,0.00,fail_5,permutation,0.00,0.00,835261,5,60,q5_p60
243,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_5,permutation,28.43,92.46,835261,5,60,q5_p60
244,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_5,permutation,4.53,7.54,835261,5,60,q5_p60
