id,dataset,tool1,tool2,read,unique,total,percent_unique,old_group,group,subgroup,label,percent_compression,percent_sampled,total_reads,percent_unique_sample1,percent_unique_sample2,percent_unique_sample3,sample_mean,sample_sd,change_percent_compression,rm_motif_unique,rm_motif_percent_compression,
486,hiseq125(high_output),subsampling,,R1,3549385,15647202,22.68,subsampling,subsampling,3,,77.32,10,156472029,,,,,,,,,
487,hiseq125(high_output),subsampling,,R1,4917258,23470803,20.95,subsampling,subsampling,1,,79.05,15,156472029,,,,,,,,,
488,hiseq125(high_output),subsampling,,R1,4920565,23470803,20.96,subsampling,subsampling,2,,79.04,15,156472029,,,,,,,,,
489,hiseq125(high_output),subsampling,,R1,4921355,23470803,20.97,subsampling,subsampling,3,,79.03,15,156472029,,,,,,,,,
490,hiseq125(high_output),subsampling,,R1,6216804,31294404,19.87,subsampling,subsampling,1,,80.13,20,156472029,,,,,,,,,
491,hiseq125(high_output),subsampling,,R1,6221906,31294404,19.88,subsampling,subsampling,2,,80.12,20,156472029,,,,,,,,,
492,hiseq125(high_output),subsampling,,R1,6219078,31294404,19.87,subsampling,subsampling,3,,80.13,20,156472029,,,,,,,,,
493,hiseq125(high_output),subsampling,,R1,7471428,39118005,19.10,subsampling,subsampling,1,,80.90,25,156472029,,,,,,,,,
494,hiseq125(high_output),subsampling,,R1,7470914,39118005,19.10,subsampling,subsampling,2,,80.90,25,156472029,,,,,,,,,
495,hiseq125(high_output),subsampling,,R1,7471777,39118005,19.10,subsampling,subsampling,3,,80.90,25,156472029,,,,,,,,,
496,hiseq125(high_output),subsampling,,R1,8679852,46941606,18.49,subsampling,subsampling,1,,81.51,30,156472029,,,,,,,,,
497,hiseq125(high_output),subsampling,,R1,8686593,46941606,18.51,subsampling,subsampling,2,,81.49,30,156472029,,,,,,,,,
498,hiseq125(high_output),subsampling,,R1,8683873,46941606,18.50,subsampling,subsampling,3,,81.50,30,156472029,,,,,,,,,
499,hiseq125(high_output),subsampling,,R1,9864484,54765207,18.01,subsampling,subsampling,1,,81.99,35,156472029,,,,,,,,,
500,hiseq125(high_output),subsampling,,R1,9866273,54765207,18.02,subsampling,subsampling,2,,81.98,35,156472029,,,,,,,,,
501,hiseq125(high_output),subsampling,,R1,9866998,54765207,18.02,subsampling,subsampling,3,,81.98,35,156472029,,,,,,,,,
502,hiseq125(high_output),subsampling,,R1,11015533,62588808,17.60,subsampling,subsampling,1,,82.40,40,156472029,,,,,,,,,
503,hiseq125(high_output),subsampling,,R1,11019295,62588808,17.61,subsampling,subsampling,2,,82.39,40,156472029,,,,,,,,,
504,hiseq125(high_output),subsampling,,R1,11018136,62588808,17.60,subsampling,subsampling,3,,82.40,40,156472029,,,,,,,,,
505,hiseq125(high_output),subsampling,,R1,12141453,70412409,17.24,subsampling,subsampling,1,,82.76,45,156472029,,,,,,,,,
506,hiseq125(high_output),subsampling,,R1,12143764,70412409,17.25,subsampling,subsampling,2,,82.75,45,156472029,,,,,,,,,
507,hiseq125(high_output),subsampling,,R1,12145314,70412409,17.25,subsampling,subsampling,3,,82.75,45,156472029,,,,,,,,,
508,hiseq125(high_output),subsampling,,R1,13256048,78236010,16.94,subsampling,subsampling,1,,83.06,50,156472029,,,,,,,,,
509,hiseq125(high_output),subsampling,,R1,13251042,78236010,16.94,subsampling,subsampling,2,,83.06,50,156472029,,,,,,,,,
510,hiseq125(high_output),subsampling,,R1,13256058,78236010,16.94,subsampling,subsampling,3,,83.06,50,156472029,,,,,,,,,
511,hiseq125(high_output),subsampling,,R1,14340887,86059611,16.66,subsampling,subsampling,1,,83.34,55,156472029,,,,,,,,,
512,hiseq125(high_output),subsampling,,R1,14337902,86059611,16.66,subsampling,subsampling,2,,83.34,55,156472029,,,,,,,,,
513,hiseq125(high_output),subsampling,,R1,14342730,86059611,16.67,subsampling,subsampling,3,,83.33,55,156472029,,,,,,,,,
514,hiseq125(high_output),subsampling,,R1,15407438,93883212,16.41,subsampling,subsampling,1,,83.59,60,156472029,,,,,,,,,
515,hiseq125(high_output),subsampling,,R1,15409408,93883212,16.41,subsampling,subsampling,2,,83.59,60,156472029,,,,,,,,,
516,hiseq125(high_output),subsampling,,R1,15408834,93883212,16.41,subsampling,subsampling,3,,83.59,60,156472029,,,,,,,,,
517,hiseq125(high_output),subsampling,,R1,16462253,101706813,16.19,subsampling,subsampling,1,,83.81,65,156472029,,,,,,,,,
518,hiseq125(high_output),subsampling,,R1,16460444,101706813,16.18,subsampling,subsampling,2,,83.82,65,156472029,,,,,,,,,
519,hiseq125(high_output),subsampling,,R1,16461399,101706813,16.19,subsampling,subsampling,3,,83.81,65,156472029,,,,,,,,,
520,hiseq125(high_output),subsampling,,R1,17501279,109530414,15.98,subsampling,subsampling,1,,84.02,70,156472029,,,,,,,,,
521,hiseq125(high_output),subsampling,,R1,17500182,109530414,15.98,subsampling,subsampling,2,,84.02,70,156472029,,,,,,,,,
522,hiseq125(high_output),subsampling,,R1,17502114,109530414,15.98,subsampling,subsampling,3,,84.02,70,156472029,,,,,,,,,
523,hiseq125(high_output),subsampling,,R1,18525125,117354015,15.79,subsampling,subsampling,1,,84.21,75,156472029,,,,,,,,,
524,hiseq125(high_output),subsampling,,R1,18523309,117354015,15.78,subsampling,subsampling,2,,84.22,75,156472029,,,,,,,,,
525,hiseq125(high_output),subsampling,,R1,18523801,117354015,15.78,subsampling,subsampling,3,,84.22,75,156472029,,,,,,,,,
